timestamp,SN,counter,time,lat,lon,alt,vSpeed,eSpeed,nSpeed,sats,temp,rh,battery,rssi
2026-01-03T23:20:46.072510,1, 1331, 1767478845, 0, 0, -17000, 0, 0, 0, 0, 5556, 115, 22, -59.00
2026-01-03T23:20:47.075943,1, 1332, 1767478846, 0, 0, -17000, 0, 0, 0, 0, 5556, 115, 21, -59.00
2026-01-03T23:20:48.078109,1, 1333, 1767478847, 0, 0, -17000, 0, 0, 0, 0, 5556, 115, 22, -60.00
2026-01-03T23:20:49.083257,1, 1334, 1767478848, 0, 0, -17000, 0, 0, 0, 0, 5567, 115, 22, -59.00
2026-01-03T23:20:50.069037,1, 1335, 1767478849, 0, 0, -17000, 0, 0, 0, 0, 5516, 116, 22, -59.00
2026-01-03T23:20:51.076640,1, 1336, 1767478850, 0, 0, -17000, 0, 0, 0, 0, 5516, 116, 22, -59.00
2026-01-03T23:20:52.080115,1, 1337, 1767478851, 0, 0, -17000, 0, 0, 0, 0, 5526, 115, 21, -60.00
2026-01-03T23:20:53.065587,1, 1338, 1767478852, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 22, -59.00
2026-01-03T23:20:54.083823,1, 1339, 1767478853, 0, 0, -17000, 0, 0, 0, 0, 5516, 116, 21, -59.00
2026-01-03T23:20:55.071757,1, 1340, 1767478854, 0, 0, -17000, 0, 0, 0, 0, 5516, 115, 22, -59.00
2026-01-03T23:20:56.074389,1, 1341, 1767478855, 0, 0, -17000, 0, 0, 0, 0, 5496, 116, 22, -60.00
2026-01-03T23:20:57.067901,1, 1342, 1767478856, 0, 0, -17000, 0, 0, 0, 0, 5516, 115, 21, -60.00
2026-01-03T23:20:58.080562,1, 1343, 1767478857, 0, 0, -17000, 0, 0, 0, 0, 5516, 117, 22, -60.00
2026-01-03T23:20:59.069054,1, 1344, 1767478858, 0, 0, -17000, 0, 0, 0, 0, 5526, 116, 22, -59.00
2026-01-03T23:21:00.067112,1, 1345, 1767478859, 0, 0, -17000, 0, 0, 0, 0, 5496, 115, 21, -59.00
2026-01-03T23:21:01.072618,1, 1346, 1767478860, 0, 0, -17000, 0, 0, 0, 0, 5496, 117, 22, -59.00
2026-01-03T23:21:02.073038,1, 1347, 1767478861, 0, 0, -17000, 0, 0, 0, 0, 5445, 116, 22, -59.00
2026-01-03T23:21:03.067447,1, 1348, 1767478862, 0, 0, -17000, 0, 0, 0, 0, 5486, 115, 21, -59.00
2026-01-03T23:21:04.077088,1, 1349, 1767478863, 0, 0, -17000, 0, 0, 0, 0, 5486, 115, 21, -62.00
2026-01-03T23:21:05.067810,1, 1350, 1767478864, 0, 0, -17000, 0, 0, 0, 0, 5476, 116, 22, -61.00
2026-01-03T23:21:06.073962,1, 1351, 1767478865, 0, 0, -17000, 0, 0, 0, 0, 5476, 115, 21, -61.00
2026-01-03T23:21:07.074677,1, 1352, 1767478866, 0, 0, -17000, 0, 0, 0, 0, 5476, 116, 21, -61.00
2026-01-03T23:21:08.076812,1, 1353, 1767478867, 0, 0, -17000, 0, 0, 0, 0, 5476, 116, 22, -61.00
2026-01-03T23:21:09.080111,1, 1354, 1767478868, 0, 0, -17000, 0, 0, 0, 0, 5496, 116, 21, -60.00
2026-01-03T23:21:10.087125,1, 1355, 1767478869, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 22, -60.00
2026-01-03T23:21:11.067656,1, 1356, 1767478870, 0, 0, -17000, 0, 0, 0, 0, 5506, 117, 21, -61.00
2026-01-03T23:21:12.074009,1, 1357, 1767478871, 0, 0, -17000, 0, 0, 0, 0, 5476, 116, 22, -60.00
2026-01-03T23:21:13.088848,1, 1358, 1767478872, 0, 0, -17000, 0, 0, 0, 0, 5506, 117, 21, -60.00
2026-01-03T23:21:14.078163,1, 1359, 1767478873, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 22, -60.00
2026-01-03T23:21:15.076523,1, 1360, 1767478874, 0, 0, -17000, 0, 0, 0, 0, 5526, 115, 22, -60.00
2026-01-03T23:21:16.074778,1, 1361, 1767478875, 0, 0, -17000, 0, 0, 0, 0, 5496, 116, 21, -60.00
2026-01-03T23:21:17.068873,1, 1362, 1767478876, 0, 0, -17000, 0, 0, 0, 0, 5516, 115, 21, -61.00
2026-01-03T23:21:18.071277,1, 1363, 1767478877, 0, 0, -17000, 0, 0, 0, 0, 5506, 117, 21, -60.00
2026-01-03T23:21:19.066519,1, 1364, 1767478878, 0, 0, -17000, 0, 0, 0, 0, 5536, 115, 22, -61.00
2026-01-03T23:21:20.072841,1, 1365, 1767478879, 0, 0, -17000, 0, 0, 0, 0, 5526, 117, 22, -60.00
2026-01-03T23:21:21.065304,1, 1366, 1767478880, 0, 0, -17000, 0, 0, 0, 0, 5556, 116, 21, -60.00
2026-01-03T23:21:22.065821,1, 1367, 1767478881, 0, 0, -17000, 0, 0, 0, 0, 5526, 116, 21, -60.00
2026-01-03T23:21:23.080289,1, 1368, 1767478882, 0, 0, -17000, 0, 0, 0, 0, 5546, 114, 22, -61.00
2026-01-03T23:21:24.066210,1, 1369, 1767478883, 0, 0, -17000, 0, 0, 0, 0, 5526, 114, 22, -61.00
2026-01-03T23:21:25.076901,1, 1370, 1767478884, 0, 0, -17000, 0, 0, 0, 0, 5526, 115, 22, -61.00
